,combination,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Label,n_element
243,FeMoNbV,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,HEA,4
244,FeMoNiV,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,HEA,4
245,FeMoPdRh,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,HEA,4
246,FeMoTiV,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,HEA,4
247,FeNiPdRh,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,HEA,4
248,MnMoTiV,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,HEA,4
249,MnNbNiV,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,HEA,4
250,MnNbTiZr,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,HEA,4
251,MnNiPdRu,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,not_HEA,4
252,MoNbTiV,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,HEA,4
253,NbTiVZr,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,HEA,4
254,NiPdRhRu,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,HEA,4
255,AgCoCrNi,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,not_HEA,4
256,AgCoCuFe,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,not_HEA,4
257,AgCoMoNi,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,not_HEA,4
258,AgCoMoRu,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,not_HEA,4
259,AgCrCuFe,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,not_HEA,4
260,AgCrFeNi,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,not_HEA,4
261,AgCrNiPd,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,not_HEA,4
262,AgCrNiRu,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,not_HEA,4
263,AgCrPdRh,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,not_HEA,4
264,AgCuFeNi,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,not_HEA,4
265,AgCuNiPd,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,HEA,4
266,AgCuPdRu,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,not_HEA,4
267,AgFeMoNi,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,not_HEA,4
268,AgFeNiRh,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,not_HEA,4
269,AgMoNiPd,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,not_HEA,4
270,AgMoNiRh,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,not_HEA,4
271,AgNbPdRh,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,not_HEA,4
272,AgNiPdRh,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,HEA,4
273,CoCrCuNi,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,HEA,4
274,CoCrFeNi,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,HEA,4
275,CoCrMnMo,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,HEA,4
276,CoCrMoNb,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,HEA,4
277,CoCrNiPd,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,HEA,4
278,CoCrPdRu,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,HEA,4
279,CoCuPdRu,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,HEA,4
280,CoPdRhRu,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,HEA,4
